source,target,maxspeed,osmid,length,name,oneway
2202026209,138243251,0,14334249,295.546,Rua de António Granjo,True
479183080,129786479,0,95841112,95.967,Rua de Entre Campos,True
2202026216,2202026220,50,210073245,58.569,Avenida de Camilo,True
2202026216,2202026217,0,210073282,13.518,NONE,False
2202026217,138246839,50,14334234,59.963,Avenida de Camilo,True
2202026217,2202026216,0,210073282,13.518,NONE,False
479297772,479309290,0,39928989,17.619,Rua de Cascais,False
479297772,479411938,0,39928989,7.231,Rua de Cascais,False
479297772,1143318805,0,39928995,65.841,Rua de Algés,False
479297773,479297762,0,39928989,20.456,Rua de Cascais,False
479297773,479309290,0,39928989,20.062,Rua de Cascais,False
479297773,479292902,0,39921299,115.906,Rua de Leça,False
479297773,4505062035,0,39921304,52.559,Rua da Nazaré,False
2202026220,138246838,50,210073245,59.504,Avenida de Camilo,True
2202026220,2202026224,0,210073286,13.039,NONE,False
2202026224,2202026217,50,14334234,58.257,Avenida de Camilo,True
2202026224,2202026220,0,210073286,13.039,NONE,False
2202026227,2202026224,50,14334234,60.689,Avenida de Camilo,True
2202026227,138246838,0,14334291,13.601,Rua de António Carneiro,True
314048763,5297832488,0,28590927,26.001,Rua de Correia de Sá,True
314048763,314048657,0,478883478,34.483,Rua de Duarte Pacheco Pereira,True
2208891134,1554874570,0,31573135,75.688,Rua de Augusto Rosa,True
2208891134,3392939433,50,210851328,112.43099999999998,Praça da Batalha,True
480346381,1105954950,0,39979724,31.003,Rua 7,False
335560973,475055357,0,30405489,40.812,Rua Joaquim de Vasconcelos,True
2202026257,414905299,0,35731564,9.333,Praça das Flores,True
2202026257,414905299,0,"[210073301, 210073299, 210073285]",122.54299999999999,NONE,True
480346389,1105954950,0,39979724,29.845,Rua 7,False
480346404,480346311,0,39979741,30.031,Rua 8,False
480346406,480346285,0,39979756,20.355,Rua 11,False
480346406,1105954939,0,39979774,5.564,Rua 3,False
480346406,480346209,0,39979774,45.813,Rua 3,False
2940944679,2940944907,0,"[290580548, 290580549]",26.485000000000003,NONE,True
2940944679,3092699113,0,"[726566450, 304688482]",21.177,Rua Sá da Bandeira,True
480346408,1105954939,0,39979774,17.719,Rua 3,False
480346408,1108123743,0,453820411,28.97,Rua 12,False
480346408,480346512,0,39979774,115.882,Rua 3,False
299598126,299597866,0,27291486,52.542,Rua da Cruz,True
299598126,299598676,0,27291520,67.41499999999999,Rua de Artur de Paiva,True
128581937,128586501,0,34777927,67.908,NONE,True
128581937,2490198483,0,"[448858673, 13798541]",98.47999999999999,Rua da Igreja de Paranhos,True
299614518,513931856,0,27293302,91.359,Rua da Póvoa,False
479183169,479183377,0,609306715,35.346,Travessa de Entre Campos,False
479183169,479183225,0,39911740,219.355,Travessa de Entre Campos,True
