source,target,maxspeed,oneway,name,length
7138316205,4555697405,0,False,NONE,44.205
7138316208,7138316204,0,False,NONE,3.436
7138316208,6497992002,0,False,NONE,6.062
7138316208,4555697400,0,False,NONE,23.009
7138316204,7138316208,0,False,NONE,3.436
7138316204,3398946336,0,False,NONE,11.459
7138316204,7138316205,0,False,NONE,17.858
2213482422,3392711320,0,False,NONE,7.782
2213482428,7134805750,0,False,NONE,3.675
3897692178,475352608,0,False,NONE,22.62
4529131591,111481561,50,False,Rua de Mouzinho da Silveira,6.772
4529131591,4996732855,0,False,NONE,9.078
4529131591,2356350474,50,False,Rua de Mouzinho da Silveira,87.60499999999999
4529131593,4927269235,50,True,Rua da Bolsa,2.73
4529131593,2256269811,0,False,NONE,3.425
4529131593,4996732855,0,False,Rua das Flores,15.443999999999999
4529131594,4529131595,0,False,NONE,4.759
4529131595,2356505225,50,False,Rua da Bolsa,49.479
4529131595,4529131596,0,False,NONE,4.794
4529131595,4529131594,0,False,NONE,4.759
4529131595,111481848,50,False,Rua da Bolsa,7.334999999999999
4529131597,286969936,50,True,Rua de Ferreira Borges,87.777
4529131597,4529131598,0,False,NONE,10.217
4529131597,2356503873,0,False,NONE,3.458
4529131596,4529131595,0,False,NONE,4.794
4529131598,4529131597,0,False,NONE,10.217
4529131599,4529131600,0,False,NONE,3.619
4529131600,111481848,50,True,Rua de Ferreira Borges,10.686
4529131600,4529131601,0,False,NONE,3.911
4529131600,4529131599,0,False,NONE,3.619
4529131601,4529131600,0,False,NONE,3.911
138252374,4492375365,0,True,Rua de Santos Pousada,153.46
4529131602,2256269834,0,False,NONE,3.526
4529131602,2356376620,0,False,NONE,3.304
4529131602,2207399542,50,True,Rua da Bolsa,41.397999999999996
4529131608,2256269814,0,False,NONE,3.652
4529131608,4529131607,0,False,NONE,3.508
4529131608,4529131600,50,True,Rua de Ferreira Borges,73.167
4529131607,4529131608,0,False,NONE,3.508
4529131610,2356427207,0,False,NONE,4.436
4529131610,4529131609,0,False,NONE,4.964
4529131610,2262128243,0,False,Rua do Infante Dom Henrique,8.691
4529131610,3392710660,0,False,Rua do Infante Dom Henrique,35.324
4529131612,286969970,50,False,Rua da Bolsa,8.256
4529131612,2356505222,50,False,Rua da Bolsa,2.171
4529131612,2356503917,0,False,NONE,5.778
4529131612,4529131611,0,False,NONE,4.715
4529131609,4529131610,0,False,NONE,4.964
4529131611,4529131612,0,False,NONE,4.715
2206208148,475876236,0,False,Rua do Corpo da Guarda,69.857
