source,target,oneway,maxspeed,length,osmid,name
297369946,1187411650,False,0,87.57300000000001,351525777,NONE
1352647002,412525204,True,0,203.295,"[252543336, 34885153]",Túnel das Antas I
1352647002,1352646999,True,0,104.564,"[549444985, 482324642]",Avenida de Fernão de Magalhães
1352647004,299579766,True,0,72.92099999999999,118148373,Rua de Contumil
335561055,129953504,True,0,65.70400000000001,128246660,Rua de Aníbal Cunha
1352647011,1352647002,True,0,16.541,549444986,Avenida de Fernão de Magalhães
335561064,335561055,True,0,147.432,30405504,Rua da Igreja de Cedofeita
335561064,137982795,True,0,32.406,434879924,Rua de Cedofeita
480346473,480346202,False,0,24.948,39979759,Rua 13
480346473,480346285,False,0,19.197,39979759,Rua 13
480346473,1105954954,False,0,55.018,39979765,Rua 10
1352647022,1352647030,True,0,16.39,480146199,Avenida de Fernão de Magalhães
1352647025,299592374,True,0,66.067,27290191,Rua das Mercês
1352647025,1352663634,False,0,122.257,"[549454258, 120692683]",Avenida de Fernão de Magalhães
1352647025,5307690019,False,0,77.84100000000001,549454260,Avenida de Fernão de Magalhães
1352647028,1352647049,True,0,49.235,"[549269426, 549269427]",Avenida de Fernão de Magalhães
299614580,1309301158,True,0,89.958,41738588,Calçada da Póvoa
299614580,138194473,True,0,242.77299999999997,482327707,Rua Aires de Ornelas
1352647030,130075590,True,0,13.896999999999998,304690307,NONE
1352647030,1352646988,True,0,47.998000000000005,"[480146195, 480146196]",Avenida de Fernão de Magalhães
501252472,280197437,True,0,110.161,34653072,Rua de Fonseca Cardoso
501252472,1209790928,True,0,69.45100000000001,13836474,Rua das Musas
501252472,501252476,True,0,36.582,452073000,Rua das Musas
479183225,311889489,False,0,60.676,224646232,Rua do Campo Alegre
479183225,311889376,False,0,132.464,224646232,Rua do Campo Alegre
501252476,501252606,False,0,35.447,41097758,Calçada do Leal
501252476,4488733049,True,0,13.803,452073000,Rua das Musas
1352647036,122452407,False,0,101.809,304690306,Rua de Carlos Malheiro Dias
1352647036,4751729004,True,0,33.655,13268415,Rua de Carlos Malheiro Dias
311886214,2334451788,False,0,74.26,224645847,Rua de Henrique Lopes de Mendonça
311886214,311888684,False,0,44.902,28589553,Rua de Henrique Lopes de Mendonça
311886215,311886214,True,0,32.895,464734850,Rua de Henrique Lopes de Mendonça
311886215,311888682,True,0,22.559,40643208,Rua de Henrique Lopes de Mendonça
444023177,343646668,True,0,90.63300000000001,30912867,Travessa de Álvaro Castelões
444023177,1548540063,False,0,144.36999999999998,"[141475042, 37856707, 141475043]",Rua do Alto
1352647049,1352663646,True,0,24.041,549269428,Avenida de Fernão de Magalhães
1352647049,1352663630,True,0,25.207,120693467,Avenida de Fernão de Magalhães
478863896,297880608,True,0,108.13600000000001,39895304,Rua da Pena
478863896,1594649037,False,0,473.12500000000006,"[128362570, 39895274, 481849357, 480494958, 481849358]","['Rua da Boa Viagem', 'Travessa do Gólgota', 'Rua da Pena']"
1548075405,1548076001,False,0,97.783,141434657,Rua 8
1548075405,1548074702,False,0,82.118,141435262,Travessa de Bonjóia
1548075405,1548075978,False,0,133.65500000000003,141435262,Travessa de Bonjóia
1352647054,4473312689,True,0,3.401,549269428,Avenida de Fernão de Magalhães
1352647054,299611387,True,0,89.003,27292930,Praça Doutor Francisco Sá Carneiro
480346512,4773520967,False,0,9.158,252517529,Rua 1
480346512,480346408,False,0,115.88199999999999,39979774,Rua 3
480346512,479522370,False,0,102.09700000000001,252517529,Rua 1
444023185,1223751803,True,0,110.5,30911278,Rua Doutor Carteado Mena
444023185,299574281,False,0,8.4,434879925,Rua de Costa Cabral
444023185,299574280,False,0,185.921,434879925,Rua de Costa Cabral
501252500,501252596,False,0,43.398,452072994,Travessa do Leal
501252500,129552044,True,0,65.669,452073000,Rua das Musas
1548075413,1097394676,False,0,76.60700000000001,141435133,NONE
1548075421,3846229923,False,50,17.675,98835973,Rua das Areias
1548075421,1548074399,False,50,191.837,98835973,Rua das Areias
1548075421,1548074455,False,0,104.784,447242477,Travessa de Furamontes
2135998880,138233991,True,0,11.422,31573135,Rua de Augusto Rosa
111428003,111503635,True,0,39.324,12302717,Esplanada do Rio de Janeiro
111428003,111428008,True,0,44.977,434897746,Praça Gonçalves Zarco
111428008,111428028,True,0,191.86499999999998,"[12294186, 434896887]",Praça Gonçalves Zarco
3891282347,475413943,False,0,92.91999999999999,"[385795771, 385795772, 39658943]",Rua de António Pedro
3149005232,510745676,True,0,105.719,176943863,Rua de O Primeiro de Janeiro
3149005233,126554316,False,0,36.559,153804358,Rua Orfeão do Porto
3149005233,3149005236,False,0,79.52,153804358,Rua Orfeão do Porto
3149005233,3149005235,False,0,76.85900000000001,309557721,NONE
3149005235,3149005233,False,0,76.85900000000001,309557721,NONE
3149005236,1664454451,False,0,44.045,153804358,Rua Orfeão do Porto
3149005236,3149005233,False,0,79.52000000000001,153804358,Rua Orfeão do Porto
3149005236,3149005238,False,0,74.212,309557722,NONE
3149005238,3149005236,False,0,74.212,309557722,NONE
4554424759,4468690331,True,0,63.354,608418574,Praça Mouzinho de Albuquerque
501252536,129552044,True,0,25.912,38336641,Rua do Bonjardim
501252536,501252596,False,0,174.748,"[41097754, 452072994]","['Travessa das Musas', 'Travessa do Leal']"
4554424762,1788788089,True,0,150.758,459643670,Rua Ofélia Diogo da Costa
4554424762,2572799251,True,0,127.84199999999998,"[705491645, 705491647]",Avenida da Boavista
1548075452,4573702128,False,0,32.521,461937910,Beco do Monte da Bela
1548075452,1548075153,False,0,62.809,"[448832530, 103847407]","['Rua 5', 'Rua Monte da Bela']"
1548075452,1198805226,False,0,165.64600000000002,103847407,Rua Monte da Bela
3149005245,428214920,False,0,46.153999999999996,309557724,Rua Alfredo Nunes de Matos
4751327677,128655671,True,0,201.70899999999997,35447220,Rua do Amparo
4751327677,2202026257,True,0,73.697,35731564,Praça das Flores
3149005247,3149005251,False,0,153.58800000000002,309557725,Rua de João Baptista Lavanha
3149005247,3149005246,False,0,20.106,309557725,Rua de João Baptista Lavanha
3149005247,4753793616,False,0,26.597,446760007,NONE
3149005246,3149005247,False,0,20.106,309557725,Rua de João Baptista Lavanha
3149005246,4753793616,False,0,35.444,734260454,Rua de Paulo da Gama
3149005246,479512746,False,0,11.544,734260454,Rua de Paulo da Gama
111428028,1249809161,True,0,45.223,12294186,Praça Gonçalves Zarco
111428028,111429621,True,0,44.98,13275275,Avenida de Montevideu
3149005251,3149005247,False,0,153.58800000000002,309557725,Rua de João Baptista Lavanha
3149005252,3149005253,False,0,10.496,309557726,Rua Alegre
3149005252,480486049,True,0,20.051000000000002,39991527,Rua do Padre Luís Cabral
3149005253,3149005252,False,0,10.496,309557726,Rua Alegre
3149005257,480476967,False,0,48.806,309557728,Rua Alegre
1887601114,1887601133,False,0,65.019,178413104,Rua da Cooperativa do Povo Portuense
1887601114,501225766,False,0,33.504,452073004,Rua das Musas
1887601114,129552512,False,0,26.025,452073004,Rua das Musas
475054556,1417675673,True,0,171.76,39632140,Rua de Santa Isabel
475054556,335560768,True,0,44.586999999999996,30405489,Rua Joaquim de Vasconcelos
1887601133,1887601114,False,0,65.019,178413104,Rua da Cooperativa do Povo Portuense
1887601134,25632454,True,0,66.289,38336634,Rua de Gonçalo Cristóvão
1471136241,1110673569,False,0,16.525,133659510,Rua do Professor Agostinho da Silva
1471136241,126604783,False,0,389.709,453834045,Rua do Engenheiro Nuno de Meireles
501252596,501252500,False,0,43.398,452072994,Travessa do Leal
501252596,501252606,False,0,41.838,41097755,Calçada do Leal
501252596,501252536,False,0,174.74800000000002,"[452072994, 41097754]","['Travessa das Musas', 'Travessa do Leal']"
501252606,501252476,False,0,35.447,41097758,Calçada do Leal
501252606,501252622,False,0,26.502,41097758,Calçada do Leal
501252606,501252596,False,0,41.838,41097755,Calçada do Leal
1684865542,2250794621,True,0,25.401,"[13801323, 13801868]","['Rua de Dom Manuel II', 'Rua de Alberto Aires de Gouveia']"
1684865542,1874214575,False,50,105.645,386286210,Rua de Dom Manuel II
2940944907,1110698267,True,0,35.937,738994727,Rua de Gonçalo Cristóvão
501252622,501252606,False,0,26.502,41097758,Calçada do Leal
479183377,479183169,False,0,35.346,609306715,Travessa de Entre Campos
6249234969,1352663655,True,0,69.556,549444947,Avenida de Fernão de Magalhães
6249234969,1334148418,True,0,30.337,667433342,NONE
5297832488,1264279491,True,0,345.33,"[115547979, 40769511, 28590927]",Rua de Correia de Sá
1108247085,1788787180,False,0,9.463,40859294,Rua do Padre Luís d'Almeida
1108247085,497171025,False,0,91.628,40859294,Rua do Padre Luís d'Almeida
1108247085,1108123590,True,0,63.536,549352900,Rua Diogo do Couto
335561262,335561263,False,0,117.631,30405528,Rua de Rodrigues Lobo
335561263,335561262,False,0,117.631,30405528,Rua de Rodrigues Lobo
335561263,1788786433,True,0,27.494999999999997,167487371,Rua de Júlio Dinis
5297832506,3605258295,True,0,50.566,41018361,Rua do Douro
5297832506,501142402,False,0,39.849,293779033,Rua da Maia
1108247111,479184362,False,0,36.147,39911806,Rua Professor Abílio Cardoso
1108247111,479184251,False,0,33.047,95841140,NONE
1108247111,479184346,False,0,63.315000000000005,39911806,Rua Professor Abílio Cardoso
1108247111,129786479,False,0,34.092,95841140,NONE
1108247113,479435897,False,0,15.515,39931643,Calçada João do Carmo
1108247113,4505062034,False,0,27.003,453823645,Rua do Ouro
1108247113,479435872,False,0,152.734,"[484608229, 453823645]","['Rua do Senhor da Boa Morte', 'Rua do Ouro']"
1108247114,314028301,False,0,90.027,209436195,Rua de Francisco Barreto
1108247114,314075627,False,0,62.044,209436198,Rua de Duarte Lopes
1108247114,314043899,True,0,72.44200000000001,28590603,Rua de Duarte Lopes
1352663628,412525204,True,0,185.802,"[35170179, 173372590]",Túnel das Antas I
1352663628,1352663653,True,0,147.529,"[549444969, 549444982]",Avenida de Fernão de Magalhães
1352663630,1352647011,True,0,71.748,549444986,Avenida de Fernão de Magalhães
4442997329,1243857985,True,0,35.949,447104330,Avenida de Sidónio Pais
1352663634,4478069063,False,0,17.159,549454255,Avenida de Fernão de Magalhães
1352663634,1106006333,True,0,38.53,536714321,Praça de Campo Grande
1352663634,1352647025,False,0,122.25699999999999,"[549454258, 120692683]",Avenida de Fernão de Magalhães
